time,open,high,low,close,tick_volume,spread,real_volume
2024-08-26 20:00:00,1.11713,1.11755,1.1167799999999999,1.11698,2779,0,0
2024-08-26 21:00:00,1.11698,1.11714,1.11596,1.11637,2976,0,0
2024-08-26 22:00:00,1.11637,1.11657,1.11588,1.11598,2230,0,0
2024-08-26 23:00:00,1.11596,1.11615,1.11587,1.11611,860,0,0
2024-08-27 00:00:00,1.11609,1.11629,1.11524,1.11599,837,4,0
2024-08-27 01:00:00,1.11599,1.1164,1.11595,1.1163,817,0,0
2024-08-27 02:00:00,1.1163,1.1167,1.1163,1.11645,988,0,0
2024-08-27 03:00:00,1.11645,1.11658,1.11597,1.11611,2580,0,0
2024-08-27 04:00:00,1.11612,1.11708,1.11598,1.11694,2060,0,0
2024-08-27 05:00:00,1.11694,1.11705,1.11643,1.11682,1314,0,0
2024-08-27 06:00:00,1.11682,1.11691,1.11652,1.11669,952,0,0
2024-08-27 07:00:00,1.11669,1.11696,1.11669,1.11686,971,0,0
2024-08-27 08:00:00,1.11686,1.11725,1.11649,1.11669,1530,0,0
2024-08-27 09:00:00,1.11669,1.11716,1.11615,1.11619,2510,0,0
2024-08-27 10:00:00,1.11619,1.11728,1.11618,1.11642,3954,0,0
2024-08-27 11:00:00,1.11642,1.11741,1.11622,1.1166800000000001,3019,0,0
2024-08-27 12:00:00,1.1166800000000001,1.11788,1.11663,1.11683,3128,0,0
2024-08-27 13:00:00,1.11684,1.11701,1.1162,1.11662,3101,0,0
2024-08-27 14:00:00,1.11662,1.117,1.1160700000000001,1.1160700000000001,2931,0,0
2024-08-27 15:00:00,1.1160700000000001,1.11648,1.11506,1.11587,3795,0,0
2024-08-27 16:00:00,1.11587,1.11699,1.11528,1.11684,4126,0,0
2024-08-27 17:00:00,1.11683,1.11719,1.11629,1.11662,5380,0,0
2024-08-27 18:00:00,1.11662,1.11701,1.11588,1.11599,3672,0,0
2024-08-27 19:00:00,1.11599,1.11679,1.11597,1.1166,2417,0,0
2024-08-27 20:00:00,1.11659,1.11827,1.11646,1.11815,2425,0,0
2024-08-27 21:00:00,1.11815,1.11907,1.11803,1.1186,2411,0,0
2024-08-27 22:00:00,1.1186,1.1186,1.11815,1.11844,1543,0,0
2024-08-27 23:00:00,1.11844,1.11859,1.11828,1.11843,858,0,0
2024-08-28 00:00:00,1.11835,1.11843,1.11757,1.11831,437,11,0
2024-08-28 01:00:00,1.1183,1.11853,1.11826,1.1184,576,0,0
2024-08-28 02:00:00,1.1184,1.11848,1.11748,1.11772,1232,0,0
2024-08-28 03:00:00,1.11772,1.11801,1.11746,1.11799,1675,0,0
2024-08-28 04:00:00,1.11799,1.1179999999999999,1.11722,1.1174,2631,0,0
2024-08-28 05:00:00,1.1174,1.11778,1.11667,1.11667,2245,0,0
2024-08-28 06:00:00,1.11667,1.11693,1.11627,1.11659,1231,0,0
2024-08-28 07:00:00,1.11659,1.1168,1.11583,1.11596,1400,0,0
2024-08-28 08:00:00,1.11596,1.11608,1.11397,1.11439,2461,0,0
2024-08-28 09:00:00,1.11439,1.11515,1.11352,1.11479,3106,0,0
2024-08-28 10:00:00,1.1148,1.11592,1.1148,1.11564,3510,0,0
2024-08-28 11:00:00,1.11564,1.11595,1.11391,1.11414,3161,0,0
2024-08-28 12:00:00,1.11414,1.11457,1.11332,1.11359,3569,0,0
2024-08-28 13:00:00,1.11359,1.11377,1.11221,1.11254,3120,0,0
2024-08-28 14:00:00,1.11253,1.11311,1.11175,1.11205,2992,0,0
2024-08-28 15:00:00,1.1120700000000001,1.11231,1.11051,1.1112,4033,0,0
2024-08-28 16:00:00,1.1112,1.11221,1.11107,1.11113,4779,0,0
2024-08-28 17:00:00,1.11113,1.11377,1.11109,1.11302,5203,0,0
2024-08-28 18:00:00,1.11303,1.1131199999999999,1.11213,1.11263,4415,0,0
2024-08-28 19:00:00,1.11263,1.11263,1.11103,1.11149,3169,0,0
2024-08-28 20:00:00,1.11149,1.11174,1.11054,1.11069,2750,0,0
2024-08-28 21:00:00,1.11068,1.11163,1.11057,1.11159,2803,0,0
2024-08-28 22:00:00,1.11158,1.1118,1.11132,1.11133,2273,0,0
2024-08-28 23:00:00,1.11133,1.112,1.11125,1.11199,1180,0,0
2024-08-29 00:00:00,1.11195,1.11199,1.1107,1.11195,123,5,0
2024-08-29 01:00:00,1.11196,1.11244,1.11184,1.11242,892,0,0
2024-08-29 02:00:00,1.11242,1.11263,1.11228,1.11246,1027,0,0
2024-08-29 03:00:00,1.11246,1.11326,1.11243,1.11315,2497,0,0
2024-08-29 04:00:00,1.11315,1.1134,1.11286,1.11291,2163,0,0
2024-08-29 05:00:00,1.11291,1.11323,1.11274,1.11316,1732,0,0
2024-08-29 06:00:00,1.11316,1.11358,1.11301,1.11358,1153,0,0
2024-08-29 07:00:00,1.11358,1.11372,1.11334,1.11355,1689,0,0
2024-08-29 08:00:00,1.11355,1.1138,1.11322,1.11357,1931,0,0
2024-08-29 09:00:00,1.11357,1.11401,1.11257,1.11281,2895,0,0
2024-08-29 10:00:00,1.11283,1.11316,1.11164,1.11302,4250,0,0
2024-08-29 11:00:00,1.11301,1.11302,1.1072,1.1085,5893,0,0
2024-08-29 12:00:00,1.10849,1.10992,1.10834,1.1094,3617,0,0
2024-08-29 13:00:00,1.1094,1.11,1.10875,1.10976,2770,0,0
2024-08-29 14:00:00,1.10975,1.10999,1.10915,1.10961,2714,0,0
2024-08-29 15:00:00,1.10962,1.10978,1.1073,1.10843,6578,0,0
2024-08-29 16:00:00,1.10843,1.10896,1.10728,1.10824,5708,0,0
2024-08-29 17:00:00,1.10823,1.10833,1.10557,1.10699,5504,0,0
2024-08-29 18:00:00,1.10699,1.10855,1.1067,1.10849,4307,0,0
2024-08-29 19:00:00,1.1085,1.1088,1.10784,1.10818,3612,0,0
2024-08-29 20:00:00,1.10818,1.10854,1.10785,1.10838,3440,0,0
2024-08-29 21:00:00,1.10838,1.10847,1.10754,1.10793,3200,0,0
2024-08-29 22:00:00,1.10792,1.10814,1.10748,1.10754,2667,0,0
2024-08-29 23:00:00,1.10758,1.10792,1.1075,1.1078000000000001,918,0,0
2024-08-30 00:00:00,1.10772,1.10796,1.10711,1.10776,433,4,0
2024-08-30 01:00:00,1.10776,1.10803,1.10774,1.10802,599,0,0
2024-08-30 02:00:00,1.10802,1.10833,1.10789,1.10802,1388,0,0
2024-08-30 03:00:00,1.10802,1.1083,1.10789,1.10807,2252,0,0
2024-08-30 04:00:00,1.10807,1.10822,1.10715,1.10715,2367,0,0
2024-08-30 05:00:00,1.10716,1.10736,1.10699,1.10721,1576,0,0
2024-08-30 06:00:00,1.10721,1.10766,1.10713,1.10738,1648,0,0
2024-08-30 07:00:00,1.10738,1.10775,1.10719,1.10741,1830,0,0
2024-08-30 08:00:00,1.10742,1.1078000000000001,1.10735,1.10772,1849,0,0
2024-08-30 09:00:00,1.10772,1.10856,1.10745,1.1085,2894,0,0
2024-08-30 10:00:00,1.1085,1.1089,1.10753,1.10842,3665,0,0
2024-08-30 11:00:00,1.10842,1.10952,1.10737,1.10751,3856,0,0
2024-08-30 12:00:00,1.10751,1.10856,1.1075,1.10829,3536,0,0
2024-08-30 13:00:00,1.1083,1.10844,1.10747,1.10795,3379,0,0
2024-08-30 14:00:00,1.10794,1.10884,1.10783,1.10816,3103,0,0
2024-08-30 15:00:00,1.10815,1.10884,1.10578,1.10681,5352,0,0
2024-08-30 16:00:00,1.10681,1.10759,1.10539,1.10723,5749,0,0
2024-08-30 17:00:00,1.10722,1.10802,1.10619,1.1069,6998,0,0
2024-08-30 18:00:00,1.10689,1.1072,1.10532,1.10599,4855,0,0
2024-08-30 19:00:00,1.10599,1.10599,1.1044,1.10496,3792,0,0
2024-08-30 20:00:00,1.10496,1.10568,1.10484,1.10526,3202,0,0
2024-08-30 21:00:00,1.10526,1.10564,1.10497,1.10523,2599,0,0
2024-08-30 22:00:00,1.1052,1.10549,1.10475,1.10529,2253,0,0
2024-08-30 23:00:00,1.10528,1.10553,1.10474,1.1048,1127,0,0
2024-09-02 00:00:00,1.10471,1.10486,1.1043,1.10477,217,25,0
2024-09-02 01:00:00,1.10476,1.10496,1.10443,1.10458,759,0,0
2024-09-02 02:00:00,1.10458,1.10473,1.10443,1.10447,1277,0,0
2024-09-02 03:00:00,1.10447,1.10559,1.1042,1.10536,1978,0,0
2024-09-02 04:00:00,1.10536,1.10557,1.10503,1.10516,2474,0,0
2024-09-02 05:00:00,1.10516,1.10537,1.10459,1.10516,1730,0,0
2024-09-02 06:00:00,1.10516,1.10556,1.10486,1.10486,1740,0,0
2024-09-02 07:00:00,1.10486,1.10487,1.1044,1.10486,1404,0,0
2024-09-02 08:00:00,1.10486,1.10565,1.10455,1.10553,1455,0,0
2024-09-02 09:00:00,1.10553,1.10704,1.1055,1.10659,2486,0,0
2024-09-02 10:00:00,1.10659,1.10687,1.10561,1.1066799999999999,3780,0,0
2024-09-02 11:00:00,1.1066799999999999,1.10775,1.10642,1.10676,3411,0,0
2024-09-02 12:00:00,1.10676,1.1072899999999999,1.10636,1.10692,3236,0,0
2024-09-02 13:00:00,1.10693,1.10706,1.10615,1.10666,2757,0,0
2024-09-02 14:00:00,1.10666,1.1069,1.10597,1.10598,2696,0,0
2024-09-02 15:00:00,1.10598,1.10714,1.10585,1.10681,2840,0,0
2024-09-02 16:00:00,1.10681,1.10721,1.10663,1.1068,2849,0,0
2024-09-02 17:00:00,1.1068,1.10717,1.10601,1.10693,2666,0,0
2024-09-02 18:00:00,1.10692,1.10711,1.10638,1.1068,1515,0,0
2024-09-02 19:00:00,1.1068,1.10684,1.10626,1.10659,936,0,0
2024-09-02 20:00:00,1.10659,1.10689,1.10659,1.10689,321,0,0
2024-09-02 21:00:00,1.10689,1.10716,1.10686,1.10709,337,0,0
2024-09-02 22:00:00,1.1071,1.1072899999999999,1.10708,1.10722,295,0,0
2024-09-02 23:00:00,1.10724,1.10726,1.10706,1.10723,339,0,0
2024-09-03 00:00:00,1.10711,1.10722,1.10618,1.10707,631,8,0
2024-09-03 01:00:00,1.10707,1.1072899999999999,1.10667,1.10667,462,0,0
2024-09-03 02:00:00,1.10667,1.10683,1.10647,1.10673,618,0,0
2024-09-03 03:00:00,1.10673,1.10689,1.10591,1.1060699999999999,2445,0,0
2024-09-03 04:00:00,1.1060699999999999,1.10684,1.10602,1.1067,2317,0,0
2024-09-03 05:00:00,1.1067,1.10704,1.10631,1.10638,1853,0,0
2024-09-03 06:00:00,1.10638,1.10638,1.10576,1.10582,2075,0,0
2024-09-03 07:00:00,1.10582,1.10588,1.10541,1.10543,2157,0,0
2024-09-03 08:00:00,1.10543,1.106,1.10541,1.10596,1922,0,0
2024-09-03 09:00:00,1.10597,1.10617,1.10512,1.10617,2948,0,0
2024-09-03 10:00:00,1.10617,1.10678,1.10557,1.10561,3894,0,0
2024-09-03 11:00:00,1.10561,1.10598,1.10481,1.10486,4090,0,0
2024-09-03 12:00:00,1.10486,1.10507,1.10343,1.10402,3847,0,0
2024-09-03 13:00:00,1.10402,1.10419,1.10333,1.10359,3433,0,0
2024-09-03 14:00:00,1.10358,1.10429,1.10339,1.10364,3445,0,0
2024-09-03 15:00:00,1.10364,1.10526,1.10337,1.1048,3630,0,0
2024-09-03 16:00:00,1.1048,1.10635,1.1048,1.10615,5942,0,0
2024-09-03 17:00:00,1.10608,1.10689,1.10372,1.10423,7579,0,0
2024-09-03 18:00:00,1.10422,1.10446,1.10361,1.1042399999999999,4302,0,0
2024-09-03 19:00:00,1.1042399999999999,1.10472,1.10382,1.10395,2883,0,0
2024-09-03 20:00:00,1.10394,1.10402,1.10265,1.10281,2326,0,0
2024-09-03 21:00:00,1.10281,1.10393,1.10266,1.10382,2932,0,0
2024-09-03 22:00:00,1.10382,1.10422,1.10375,1.10419,2075,0,0
